21:16:11.692 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
21:16:11.707 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
21:16:11.722 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
21:16:11.722 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
21:16:11.722 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_00008E0C (PID-specific).
21:16:11.722 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_00008E0C (PID-specific) has no value.
21:16:11.722 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
21:16:11.843 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=125ms
21:16:11.843 |V| JetEnvironment                | :1                 | HostInit phase completed.
21:16:11.843 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
21:16:12.161 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir “D:\School\Avans\Leerjaar_3_TI\Interactieve3DSimulatie\ForkLiftOperator\ForkliftOperator\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin”.
21:16:12.293 |V| DeployedPackages              | :1                 | Scanning folder “D:\School\Avans\Leerjaar_3_TI\Interactieve3DSimulatie\ForkLiftOperator\ForkliftOperator\Driving sandbox\Library\RiderFlow\2022.1.5.248\Backend~\bin” for Deployed Packages. Picking nugets? True!
